[2022/06/28 20:25:19] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.3, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.3', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                 
Files already downloaded and verified                                                                                                                                                                                                 
[2022/06/28 20:25:23] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/28 22:33:38] - 37       171.3           31.7            0.1000          0.9503          0.7237          1.4756                  0.4441                  0.9532          0.7122          1.5512              0.4094           
[2022/06/28 22:37:00] - 38       170.6           31.7            0.1000          0.9471          0.7274          1.4736                  0.4454                  0.9335          0.7270          1.4833              0.4535           
[2022/06/28 22:40:22] - 39       170.6           31.7            0.1000          0.9477          0.7241          1.4717                  0.4462                  0.9532          0.7167          1.5661              0.4228           
[2022/06/28 22:43:45] - 40       170.6           31.7            0.1000          0.9431          0.7273          1.4712                  0.4469                  0.9370          0.7151          1.4869              0.4484           
[2022/06/28 22:47:07] - 41       170.6           31.8            0.1000          0.9423          0.7240          1.4683                  0.4460                  0.9287          0.7221          1.5059              0.4326           
[2022/06/28 22:50:30] - 42       170.6           31.9            0.1000          0.9412          0.7266          1.4672                  0.4482                  0.9359          0.7030          1.4979              0.4306           
[2022/06/28 22:53:52] - 43       170.7           31.7            0.1000          0.9404          0.7261          1.4697                  0.4460                  0.9109          0.7322          1.4993              0.4360           
[2022/06/28 22:57:15] - 44       170.6           31.7            0.1000          0.9405          0.7269          1.4676                  0.4462                  0.9098          0.7370          1.5135              0.4284           
[2022/06/28 23:00:37] - 45       170.7           31.7            0.1000          0.9383          0.7310          1.4671                  0.4472                  0.9005          0.7238          1.4870              0.4417           
[2022/06/28 23:04:00] - 46       170.8           31.7            0.1000          0.9330          0.7328          1.4645                  0.4468                  0.9482          0.7109          1.5075              0.4365           
[2022/06/28 23:07:22] - 47       170.7           31.7            0.1000          0.9399          0.7257          1.4673                  0.4482                  0.8769          0.7313          1.4946              0.4291           
[2022/06/28 23:10:44] - 48       170.6           31.7            0.1000          0.9320          0.7315          1.4617                  0.4481                  0.8904          0.7169          1.5125              0.4255
[2022/06/28 23:14:07] - 49       170.7           31.7            0.1000          0.9303          0.7337          1.4607                  0.4484                  0.9486          0.7045          1.5106              0.4436
[2022/06/28 23:17:29] - 50       170.7           31.7            0.1000          0.9258          0.7336          1.4574                  0.4514                  0.9254          0.7117          1.4982              0.4402
[2022/06/28 23:20:52] - 51       170.6           31.7            0.1000          0.9262          0.7332          1.4569                  0.4507                  0.8750          0.7359          1.4747              0.4431
[2022/06/28 23:24:14] - 52       170.6           31.7            0.1000          0.9276          0.7308          1.4583                  0.4514                  0.9040          0.7172          1.5107              0.4378
[2022/06/28 23:27:36] - 53       170.6           31.7            0.1000          0.9260          0.7338          1.4573                  0.4509                  0.8997          0.7448          1.5115              0.4397
[2022/06/28 23:30:59] - 54       170.5           31.7            0.1000          0.9242          0.7361          1.4565                  0.4514                  0.8774          0.7399          1.4809              0.4394
