[2022/06/16 16:52:09] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=True, cutout_len=10, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='random', fname='experiments/cifar10_mixup/preactresnet18_1.
0', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.0, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                 
Files already downloaded and verified                                                                                                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                                                           
[2022/06/16 16:52:12] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss        Test Robust Acc                                        
[2022/06/16 19:01:45] - 35       187.0           28.8            0.1000          1.8566          0.3063          2.1004                  0.1901                  1.5246          0.5047          1.7925                  0.3522                                                 
[2022/06/16 19:05:21] - 36       186.9           28.8            0.1000          1.8271          0.3077          2.0837                  0.1915                  1.3492          0.5784          1.6768                  0.3901                                                 
[2022/06/16 19:08:57] - 37       187.0           28.7            0.1000          1.8458          0.3017          2.0957                  0.1869                  1.5703          0.5288          1.8075                  0.3597                                                 
[2022/06/16 19:12:32] - 38       186.9           28.7            0.1000          1.8243          0.2835          2.0813                  0.1795                  1.5257          0.5118          1.7962                  0.3448                                                 
[2022/06/16 19:16:08] - 39       187.0           28.7            0.1000          1.8318          0.3185          2.0878                  0.1916                  1.4312          0.5570          1.7084                  0.3876                                                 
[2022/06/16 19:19:44] - 40       186.9           28.7            0.1000          1.8493          0.2885          2.0974                  0.1795                  1.3863          0.5775          1.7597                  0.3601                                                 
[2022/06/16 19:23:20] - 41       186.9           28.7            0.1000          1.8353          0.3128          2.0876                  0.1936                  1.3424          0.5577          1.6534                  0.3920                                                 
[2022/06/16 19:26:56] - 42       187.3           28.7            0.1000          1.8311          0.3032          2.0869                  0.1860                  1.4873          0.5547          1.7474                  0.3865                                                 
[2022/06/16 19:30:32] - 43       187.0           28.8            0.1000          1.8439          0.2939          2.0958                  0.1780                  1.5738          0.5306          1.8088                  0.3814                                                 
[2022/06/16 19:34:08] - 44       187.5           28.7            0.1000          1.8198          0.2950          2.0807                  0.1830                  1.4497          0.5272          1.7400                  0.3690                                                 
[2022/06/16 19:37:44] - 45       186.9           28.7            0.1000          1.8291          0.2958          2.0858                  0.1835                  1.5512          0.5394          1.7877                  0.3848                                                 
