[2022/06/28 20:21:20] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.2, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.2', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
[2022/06/28 20:21:35] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/28 22:30:16] - 37       170.8           31.8            0.1000          0.9195          0.7371          1.4566                  0.4502                  0.9235          0.7239          1.5235                  0.4146
[2022/06/28 22:33:39] - 38       170.8           31.8            0.1000          0.9124          0.7410          1.4521                  0.4511                  0.9241          0.7338          1.4740                  0.4568
[2022/06/28 22:37:02] - 39       170.8           31.8            0.1000          0.9141          0.7400          1.4529                  0.4520                  0.9124          0.7306          1.5353                  0.4278
[2022/06/28 22:40:25] - 40       170.8           31.8            0.1000          0.9114          0.7391          1.4525                  0.4507                  0.9221          0.7128          1.4813                  0.4452
[2022/06/28 22:43:47] - 41       170.9           31.8            0.1000          0.9089          0.7387          1.4496                  0.4513                  0.9098          0.7340          1.4841                  0.4420
[2022/06/28 22:47:10] - 42       170.9           31.8            0.1000          0.9087          0.7413          1.4486                  0.4544                  0.9023          0.7170          1.4809                  0.4333
[2022/06/28 22:50:33] - 43       170.8           31.8            0.1000          0.9108          0.7414          1.4519                  0.4520                  0.8816          0.7417          1.4669                  0.4433
[2022/06/28 22:53:55] - 44       170.9           31.8            0.1000          0.9091          0.7396          1.4491                  0.4500                  0.8948          0.7329          1.4956                  0.4275
[2022/06/28 22:57:18] - 45       170.9           31.8            0.1000          0.9076          0.7403          1.4477                  0.4548                  0.8812          0.7293          1.4685                  0.4523
[2022/06/28 23:00:41] - 46       170.9           31.8            0.1000          0.9024          0.7458          1.4474                  0.4529                  0.9370          0.7140          1.4794                  0.4536
